,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,CIUDAD,COD_OFI,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA
55,M,818993,44.0,UNV,CAS,ARICA,138,462287,22546,0,805760,742,0,480,1,1400000,SI,FUGA
56,M,456419,29.0,TEC,SOL,PUERTO OCTAY,60,0,177279,0,79727,0,0,158,0,1700000,NO,NO FUGA
57,M,2186611,49.0,MED,SEP,SANTIAGO,123,0,77397,0,5089688,2707,12610,2000,2,8000000,NO,FUGA
58,F,19520,52.0,MED,SOL,CALAMA,12,0,8939,0,0,174,0,278,1,1800000,SI,NO FUGA
59,M,40575,46.0,UNV,CAS,SANTIAGO,90,0,1141924,0,724982,3,0,0,2,4600000,NO,FUGA
60,M,4539866,44.0,UNV,CAS,SANTIAGO,53,0,229320,0,0,0,0,7,1,4200000,NO,FUGA
61,M,2823360,43.0,UNV,CAS,SANTIAGO,24,0,809182,0,45608,131,31748,303,1,5000000,NO,FUGA
62,M,299679,50.0,UNV,CAS,SANTIAGO,85,0,38550,0,305418,42,0,0,1,7200000,NO,FUGA
63,F,136906,35.0,TEC,CAS,SANTIAGO,92,0,246905,0,93940,30,3213,207,1,2400000,NO,NO FUGA
64,M,352529,26.0,UNV,SOL,SANTIAGO,25,0,99092,0,140192,384,0,273,1,600000,NO,NO FUGA
65,M,1001768,40.0,UNV,SEP,ARICA,138,1416442,752132,0,591974,4085,0,835,2,6900000,NO,FUGA
66,M,846188,40.0,UNV,SEP,SANTIAGO,16,1515606,2334,0,27996,4707,17750,66,2,4400000,NO,FUGA
67,M,14787,44.0,UNV,CAS,SANTIAGO,55,0,650804,0,0,0,0,0,1,2100000,NO,FUGA
68,M,748468,40.0,UNV,CAS,SANTIAGO,55,0,1293,154112,157560,120,0,618,2,1300000,SI,FUGA
69,F,6190393,37.0,TEC,SOL,PUNTA ARENAS,20,0,399081,0,0,85,2324,0,1,1700000,NO,NO FUGA
70,M,94563,47.0,TEC,CAS,ARICA,138,0,46133,0,0,0,0,14864,1,2200000,SI,FUGA
71,F,276824,57.0,UNV,CAS,SANTIAGO,90,0,396782,0,0,224,0,1,1,3200000,NO,NO FUGA
72,M,566334,45.0,UNV,CAS,SANTIAGO,31,0,206772,0,0,433,0,0,1,1700000,NO,FUGA
73,M,279245,44.0,MED,CAS,SANTIAGO,84,0,6476,0,78523,328,481,279,2,3200000,NO,FUGA
74,M,288328,44.0,UNV,CAS,SANTIAGO,29,240688,291357,0,0,865,4693,0,2,900000,NO,NO FUGA
75,M,113021,44.0,TEC,SOL,SANTIAGO,104,0,0,0,61195,0,627,0,0,2400000,NO,NO FUGA
76,M,5363140,44.0,UNV,CAS,SANTIAGO,55,221828,17596,0,4673,784,0,0,2,900000,NO,FUGA
77,M,229710,28.0,TEC,SOL,SANTIAGO,18,0,274243,0,10664,156,0,1,1,1800000,NO,FUGA
78,M,473025,42.0,UNV,CAS,SANTIAGO,19,0,115101,0,0,6,0,67,1,8000000,NO,NO FUGA
79,M,491374,60.0,MED,CAS,SANTIAGO,149,0,108472,0,87170,0,0,75,0,3700000,NO,NO FUGA
80,M,2251807,30.0,MED,SOL,SANTIAGO,101,0,873822,0,314751,1159,0,67,1,8000000,NO,NO FUGA
81,F,1851839,37.0,TEC,SOL,SANTIAGO,73,0,424439,0,0,0,24243,0,0,3900000,NO,NO FUGA
82,F,42526,29.0,TEC,SOL,SANTIAGO,37,0,332017,0,19540,188,0,19,1,1900000,SI,NO FUGA
83,M,290261,28.0,MED,SOL,CON-CON,15,0,587190,0,0,5,14251,56,1,1900000,NO,NO FUGA
84,M,1690612,32.0,TEC,SOL,SANTIAGO,90,0,420275,0,108064,0,0,59423,0,8000000,NO,NO FUGA
85,M,2717617,44.0,MED,CAS,SANTIAGO,55,451869,78570,0,0,1012,4690,0,2,550000,NO,FUGA
86,M,1387024,53.0,TEC,CAS,SANTIAGO,84,0,0,0,0,719,2640,126,2,8000000,NO,NO FUGA
87,F,646488,47.0,TEC,CAS,VLLA ALEMANA,40,0,186218,0,524,112,0,2436,2,8000000,NO,NO FUGA
88,M,701143,43.0,UNV,CAS,SANTIAGO,152,0,393843,0,389187,3285,0,936,3,2600000,NO,FUGA
89,F,481863,57.0,MED,CAS,SANTIAGO,34,0,70088,0,22567,108,0,7,1,2400000,NO,NO FUGA
90,F,72123,36.0,TEC,SOL,RANCAGUA,116,1381010,14626,0,0,2119,6621,380,1,1100000,SI,NO FUGA
91,M,4995,41.0,MED,CAS,SANTIAGO,55,0,227829,0,554883,0,0,5408,1,7200000,SI,FUGA
92,F,71843,46.0,UNV,CAS,ARICA,138,0,597029,0,0,330,383,0,1,6100000,SI,FUGA
93,F,517060,55.0,UNV,SOL,SANTIAGO,24,0,59487,0,157138,130,0,0,1,2200000,NO,FUGA
94,F,880921,27.0,TEC,CAS,SANTIAGO,100,0,100945,0,0,3,0,0,1,4800000,NO,NO FUGA
95,M,476431,45.0,MED,CAS,SANTIAGO,76,0,30045,0,0,110,0,0,1,1900000,SI,FUGA
96,M,37759,46.0,UNV,CAS,SANTIAGO,55,0,0,0,0,15,0,0,1,1800000,NO,FUGA
97,M,2280308,52.0,UNV,SOL,SANTIAGO,25,1217342,0,0,123,1651,38089,2144,2,8000000,NO,FUGA
98,F,34909,39.0,TEC,SOL,SANTIAGO,52,0,175947,0,0,157,0,0,1,1400000,SI,NO FUGA
99,M,510623,55.0,TEC,CAS,SANTIAGO,120,0,909407,0,0,286,32515,7534,1,3300000,NO,FUGA
100,F,27172,62.0,MED,SOL,OSORNO,61,289733,0,0,0,880,0,0,1,700000,SI,NO FUGA
101,M,68573,45.0,UNV,CAS,SANTIAGO,55,0,483918,0,410,437,0,1066,2,3100000,NO,FUGA
102,M,1136608,42.0,UNV,CAS,SANTIAGO,55,0,3016,0,790285,490,0,7,2,8000000,NO,FUGA
103,F,487599,30.0,UNV,CAS,SANTIAGO,74,0,1709,0,0,35,0,0,1,2500000,NO,NO FUGA
104,F,54942,47.0,TEC,SOL,IQUIQUE,10,0,1561351,1808842,0,208,0,1674,1,8000000,SI,NO FUGA
105,M,382787,46.0,MED,CAS,SANTIAGO,31,0,260599,0,788433,681,0,828,1,3300000,SI,FUGA
106,M,313480,33.0,TEC,SOL,SANTIAGO,83,0,0,0,0,49,0,287,1,900000,NO,NO FUGA
107,M,490012,52.0,UNV,SOL,CONCEPCION,27,0,168370,0,576412,1592,0,506,2,800000,NO,FUGA
108,F,477794,46.0,UNV,SOL,ARICA,138,0,525197,0,147712,0,0,14169,1,3900000,NO,FUGA
109,M,720043,53.0,MED,CAS,CONCEPCION,27,0,46525,0,1095071,9,0,33,1,7300000,NO,NO FUGA
110,M,35063,31.0,TEC,CAS,VINA DEL MAR,40,0,292180,0,314105,0,0,217,0,3500000,NO,NO FUGA
111,F,58762,52.0,MED,CAS,SANTIAGO,39,265674,4127,0,153789,862,0,103,2,900000,NO,NO FUGA
112,M,330251,40.0,UNV,CAS,ARICA,138,0,143,0,194637,783,0,6,2,2600000,NO,FUGA
113,F,131346,49.0,UNV,CAS,SANTIAGO,83,0,238550,0,110592,109,26870,1,1,4500000,NO,FUGA
114,M,8362439,44.0,UNV,CAS,SANTIAGO,55,0,76703,0,758807,87,0,797,2,3200000,NO,FUGA
115,F,630734,45.0,MED,SOL,SANTIAGO,54,0,122273,0,0,649,2743,0,2,4800000,NO,NO FUGA
116,F,13130,53.0,TEC,SOL,SANTIAGO,85,0,1610674,0,0,7,0,0,1,8000000,SI,NO FUGA
117,M,24934,54.0,UNV,CAS,SANTIAGO,39,598071,368936,0,371950,782,0,102,1,1600000,SI,FUGA
118,M,34004,40.0,TEC,CAS,TALAGANTE,98,96820,85884,0,293281,122,0,231,1,2300000,SI,NO FUGA
119,M,425823,41.0,MED,CAS,SANTIAGO,126,0,316223,0,0,0,0,4,1,2000000,SI,FUGA
120,M,2981,50.0,MED,VIU,SANTIAGO,55,0,62674,0,129984,252,0,109,1,4400000,NO,FUGA
121,M,2839338,44.0,UNV,CAS,SANTIAGO,32,0,1352808,0,820004,0,0,1284,1,5400000,NO,FUGA
122,M,413261,39.0,UNV,CAS,SANTIAGO,57,0,241964,0,278256,144,0,83,1,1500000,NO,NO FUGA
123,M,365138,41.0,UNV,CAS,SANTIAGO,122,0,818468,0,0,15,0,0,2,3900000,NO,NO FUGA
124,M,883985,40.0,TEC,CAS,LA SERENA,34,818974,609309,0,337529,780,4768,0,2,700000,NO,NO FUGA
125,M,173451,30.0,TEC,SOL,SANTIAGO,122,0,48433,0,20227,93,1433,53,1,1400000,NO,NO FUGA
126,F,20084,50.0,MED,SOL,SAN FELIPE,69,0,1291644,0,5167,48,35908,0,1,8000000,SI,NO FUGA
127,M,144015,39.0,MED,CAS,RENGO,56,0,0,0,98127,87,0,199,1,5100000,NO,NO FUGA
128,F,558058,45.0,MED,CAS,SANTIAGO,108,80396,21565,0,0,1423,0,0,1,700000,NO,NO FUGA
129,M,779386,48.0,UNV,SEP,SANTIAGO,118,0,306725,0,56354,74,107,38,2,3600000,NO,FUGA
130,F,863012,30.0,MED,SOL,CASTRO,63,0,424868,0,0,118,0,0,1,5500000,NO,NO FUGA
131,F,486003,34.0,TEC,SOL,CHILLAN,67,71267,153871,0,448195,2293,0,21200,1,600000,NO,NO FUGA
132,M,251542,52.0,MED,CAS,ARICA,138,0,0,0,0,425,0,0,1,2200000,NO,FUGA
133,M,5769103,44.0,UNV,CAS,SANTIAGO,55,0,364746,0,0,0,0,2842,1,3400000,NO,FUGA
134,F,27483,56.0,MED,SOL,CHUQUICAMATA,21,195170,841316,0,0,64,42060,0,1,7900000,SI,NO FUGA
135,F,124040,50.0,TEC,CAS,ARICA,138,0,387846,0,0,8,0,0,1,2800000,SI,FUGA
136,F,87854,34.0,TEC,CAS,SANTIAGO,50,0,344787,0,0,132,0,0,1,4200000,NO,NO FUGA
137,M,136704,40.0,UNV,CAS,SANTIAGO,31,0,143607,0,104936,744,0,12,2,1700000,NO,FUGA
138,M,1663762,47.0,UNV,CAS,ARICA,138,0,191595,0,125765,0,0,1,1,8000000,NO,FUGA
139,M,1300789,52.0,TEC,SOL,ANTOFAGASTA,14,0,650514,0,0,0,7389,0,1,8000000,NO,NO FUGA
140,M,488478,45.0,UNV,CAS,SANTIAGO,129,0,205687,0,0,2,0,0,1,2200000,NO,FUGA
141,M,697230,33.0,UNV,CAS,SANTIAGO,48,0,19995,0,0,1,0,0,1,2200000,NO,NO FUGA
142,M,519811,37.0,UNV,CAS,SANTIAGO,84,0,443945,0,0,77,0,0,1,4500000,NO,NO FUGA
143,M,3586,45.0,MED,CAS,SANTIAGO,55,0,72834,0,0,9,1391,0,1,6000000,NO,FUGA
144,M,624021,47.0,UNV,CAS,SANTIAGO,61,964309,0,0,566320,993,0,423,2,2400000,NO,FUGA
145,F,636035,34.0,TEC,CAS,SANTIAGO,16,0,522864,0,0,0,25003,0,0,3500000,NO,NO FUGA
146,M,109980,35.0,UNV,CAS,SANTIAGO,129,0,4125,0,42363,96,620,382,1,1600000,NO,NO FUGA
147,F,486653,53.0,MED,CAS,IQUIQUE,10,0,0,92149,0,846,0,14122,3,8000000,NO,NO FUGA
148,M,686641,40.0,TEC,CAS,SANTIAGO,104,241245,2350,0,94880,771,7504,651,2,1400000,NO,FUGA
149,F,296519,50.0,MED,CAS,SANTIAGO,45,0,0,0,0,1442,0,13,1,1900000,NO,NO FUGA
150,M,1747096,64.0,UNV,CAS,COLBUN,78,0,251206,0,94750,4450,0,1,2,8000000,NO,NO FUGA
151,F,1291628,51.0,TEC,SEP,SANTIAGO,138,0,19549,0,0,497,48173,336,3,8000000,NO,FUGA
152,M,363666,55.0,TEC,CAS,CONCEPCION,27,0,103739,0,0,5,0,0,1,4600000,NO,FUGA
153,F,444782,26.0,TEC,SOL,SANTIAGO,90,0,1702,0,0,9,0,0,1,1800000,SI,NO FUGA
154,F,2122,47.0,TEC,SOL,SANTIAGO,37,0,11217,170891,15261,1948,0,1259,1,650000,SI,NO FUGA
155,F,126114,27.0,TEC,SOL,PENAFLOR,45,0,14037,0,114675,0,0,108,0,1700000,NO,NO FUGA
156,F,875750,33.0,UNV,CAS,CONCEPCION,27,0,373883,0,23713,65,0,0,1,4700000,NO,FUGA
157,F,764461,53.0,UNV,CAS,SANTIAGO,45,0,587987,0,319411,0,0,43,1,5000000,NO,FUGA
158,M,560529,48.0,UNV,CAS,VALDIVIA,74,0,46764,0,297061,45,0,644,1,2600000,NO,NO FUGA
159,M,42036,55.0,UNV,CAS,SANTIAGO,55,598189,388656,0,32710,1076,7644,83,1,5800000,NO,FUGA
160,M,1385344,35.0,UNV,CAS,TEMUCO,66,2298850,236967,80800,0,1585,0,80,1,5100000,NO,NO FUGA
161,M,352410,30.0,MED,CAS,CONCEPCION,27,0,68133,0,246995,167,0,75,2,1700000,NO,FUGA
162,F,506780,41.0,MED,CAS,SANTIAGO,51,0,0,0,0,0,0,10,0,2100000,NO,NO FUGA
163,F,3708456,28.0,BAS,SOL,CONCEPCION,68,0,0,0,0,1,1433,973,1,2000000,NO,NO FUGA
164,M,553960,37.0,MED,CAS,SANTIAGO,84,0,1988,0,0,153,0,0,1,4500000,NO,NO FUGA
165,F,26420,50.0,MED,SOL,SANTIAGO,139,0,2314605,0,0,0,37215,0,0,8000000,SI,NO FUGA
166,M,2805283,42.0,MED,CAS,SANTIAGO,83,839832,74253,0,1310686,975,952,27240,1,8000000,NO,NO FUGA
167,M,734582,40.0,UNV,SOL,ARICA,138,0,344321,0,0,496,0,444,1,3100000,NO,FUGA
168,F,104793,48.0,MED,CAS,SANTIAGO,24,0,0,0,341008,0,0,390,0,2700000,NO,NO FUGA
169,F,68405,32.0,TEC,CAS,SANTIAGO,31,21944,460806,0,0,491,6751,0,1,1900000,NO,NO FUGA
170,M,449696,53.0,UNV,SOL,CONCEPCION,27,0,41400,0,95303,171,0,372,1,3500000,NO,FUGA
171,M,166128,42.0,MED,CAS,ARICA,138,0,0,0,0,0,0,2795,1,2800000,NO,FUGA
172,F,1546277,31.0,TEC,VIU,CONCEPCION,67,0,325570,0,0,333,0,53,1,2300000,NO,NO FUGA
173,M,4796337,43.0,UNV,CAS,SANTIAGO,53,0,1256,0,273605,409,0,23,3,1300000,NO,FUGA
174,M,511493,47.0,UNV,CAS,SANTIAGO,122,0,305575,0,137626,250,2436,423,2,1800000,NO,FUGA
175,F,1159911,35.0,TEC,SEP,SANTIAGO,102,0,330643,0,0,31,0,0,1,2000000,NO,NO FUGA
176,M,237667,51.0,MED,CAS,TEMUCO,124,0,1126494,0,117,2082,3542,0,2,800000,NO,NO FUGA
177,M,277757,49.0,UNV,CAS,SANTIAGO,25,0,0,0,0,98,0,0,1,2300000,NO,NO FUGA
178,M,646399,50.0,MED,CAS,ARICA,138,0,273138,0,0,2786,0,118,3,2600000,NO,FUGA
179,F,5645,44.0,UNV,SOL,SANTIAGO,29,0,45993,0,82676,352,0,157,2,3400000,NO,FUGA
180,M,242897,31.0,MED,CAS,CONCEPCION,27,0,178708,0,147790,118,0,1111,1,2300000,NO,FUGA
181,M,1227273,38.0,MED,CAS,SANTIAGO,59,0,0,0,0,6,0,0,1,7500000,NO,NO FUGA
182,M,1681477,46.0,TEC,CAS,SANTIAGO,41,906387,345609,0,589680,11187,0,405,1,3700000,NO,NO FUGA
183,M,698435,55.0,UNV,SOL,ARICA,138,807625,37361,0,380806,1828,0,395,1,4500000,SI,FUGA
184,M,842371,35.0,MED,CAS,EL SALVADOR,72,0,23200,0,0,111,1400,457,1,8000000,NO,NO FUGA
185,F,230970,42.0,TEC,SOL,ANTOFAGASTA,13,0,0,0,0,236,5698,386,1,1600000,NO,NO FUGA
186,M,305258,24.0,UNV,CAS,PENAFLOR,90,0,21321,0,15557,188,0,10,1,1600000,NO,NO FUGA
187,F,1480598,36.0,TEC,VIU,SANTIAGO,39,0,0,0,0,197,0,0,1,8000000,NO,NO FUGA
188,F,178946,25.0,UNV,CAS,SANTIAGO,16,0,247290,0,0,46,0,0,1,2600000,SI,FUGA
189,M,728288,46.0,UNV,SEP,SANTIAGO,118,295430,435461,0,0,2124,391,0,3,6300000,NO,FUGA
190,F,2441832,37.0,TEC,VIU,COYHAIQUE,64,30169,93461,0,268987,1221,1523,108,3,650000,SI,NO FUGA
191,M,158529,52.0,UNV,CAS,SANTIAGO,52,0,126951,0,6603,1196,0,0,2,1000000,NO,FUGA
192,F,412466,49.0,MED,CAS,SANTIAGO,80,0,18270,0,101926,175,0,0,1,1900000,NO,FUGA
193,F,6705581,38.0,TEC,SOL,VALDIVIA,74,1634772,15162,0,0,1609,7779,0,1,8000000,NO,NO FUGA
194,M,346446,48.0,UNV,CAS,SANTIAGO,108,0,137159,0,0,423,0,0,3,1300000,NO,FUGA
195,F,503224,45.0,UNV,CAS,SANTIAGO,31,0,1008654,0,0,249,0,10107,2,6500000,NO,FUGA
196,M,48394,42.0,UNV,CAS,SANTIAGO,55,351789,165072,0,4373339,276,135,664,2,4500000,NO,FUGA
197,M,174103,47.0,UNV,CAS,ARICA,138,0,5495534,0,928904,627,42041,3504,2,6800000,NO,FUGA
198,M,560802,40.0,UNV,CAS,ARICA,138,0,258590,0,0,87,0,0,1,2000000,NO,FUGA
199,M,762229,36.0,MED,CAS,SANTIAGO,30,0,840568,0,265619,0,0,9957,0,5200000,NO,NO FUGA
200,M,337668,46.0,UNV,CAS,ARICA,138,712582,344138,0,86736,1592,3653,1299,2,6000000,NO,FUGA
201,M,33931,42.0,UNV,CAS,SANTIAGO,130,0,9579,0,13631,161,0,240,1,2200000,NO,FUGA
202,F,57478,45.0,UNV,CAS,SANTIAGO,31,0,258344,0,0,3,0,527,2,1400000,NO,FUGA
203,M,39703,41.0,UNV,CAS,SANTIAGO,55,27167,90141,0,62792,286,0,507,1,6100000,NO,FUGA
204,F,107808,52.0,UNV,CAS,SANTIAGO,37,0,220775,0,27448,0,0,11,1,1500000,NO,FUGA
205,F,6326894,35.0,TEC,VIU,VINA DEL MAR,88,0,0,0,0,7,0,0,1,5900000,NO,NO FUGA
206,M,60194,52.0,UNV,CAS,SANTIAGO,55,582932,59385,466865,0,1526,0,1281,1,1600000,NO,FUGA
207,M,966367,54.0,TEC,CAS,CONCEPCION,27,0,187082,0,0,0,0,2,1,8000000,NO,FUGA
208,M,170179,37.0,UNV,CAS,SANTIAGO,90,0,285650,0,0,18,0,0,1,1600000,NO,NO FUGA
209,M,1035383,50.0,UNV,SOL,ARICA,138,2172015,8187,0,1026835,2974,0,591,3,1000000,NO,FUGA
210,F,4453,43.0,TEC,SOL,SANTIAGO,90,0,195766,0,116,162,0,22933,1,5100000,SI,NO FUGA
211,M,854936,40.0,TEC,CAS,CALAMA,12,0,737785,0,0,1322,0,0,2,550000,NO,NO FUGA
212,F,142807,48.0,MED,CAS,SANTIAGO,24,0,0,0,201033,0,0,310,0,2700000,NO,NO FUGA
213,F,516383,32.0,MED,CAS,ANCUD,94,0,9667,0,161721,110,0,144,1,2100000,NO,NO FUGA
214,M,575653,38.0,TEC,CAS,SANTIAGO,30,0,53779,237357,0,4,802,116,1,1900000,NO,NO FUGA
215,M,2034861,42.0,UNV,CAS,SANTIAGO,55,1102292,522472,0,0,2272,37371,0,1,3800000,NO,FUGA
216,M,88686,47.0,UNV,SOL,SANTIAGO,84,0,346716,0,59665,0,4455,1,1,7000000,NO,FUGA
217,M,286587,46.0,UNV,CAS,SANTIAGO,31,0,4857,0,306010,411,0,341,1,1900000,NO,FUGA
218,M,5041906,41.0,UNV,CAS,SANTIAGO,55,0,172422,0,0,63,2007,0,1,8000000,NO,FUGA
219,M,90730,48.0,MED,SOL,SANTIAGO,52,0,28721,0,472837,313,0,499,1,3500000,SI,FUGA
220,M,53401,43.0,MED,CAS,SANTIAGO,90,0,285384,0,130198,486,0,64,3,1800000,NO,FUGA
221,F,49585,44.0,MED,SOL,ANTOFAGASTA,13,0,225390,0,0,1,0,1147,1,8000000,SI,NO FUGA
222,M,19962,45.0,MED,CAS,SANTIAGO,55,0,1083274,0,220440,0,957,0,1,8000000,NO,FUGA
223,M,362175,32.0,UNV,SOL,COQUIMBO,42,0,330962,0,0,774,1087,0,1,1200000,NO,NO FUGA
224,M,52979,55.0,TEC,SOL,CONCEPCION,27,0,48745,1586238,449573,11,0,59,1,3600000,NO,FUGA
225,M,844953,36.0,MED,SOL,ARICA,22,0,318353,0,843035,166,0,17,1,6400000,SI,NO FUGA
226,F,29844,47.0,MED,SOL,SANTIAGO,90,0,87724,0,23882,25,0,1,1,4700000,SI,NO FUGA
227,M,99917,49.0,UNV,SOL,ARICA,138,0,442829,0,87393,50,125,82,1,2500000,NO,FUGA
228,F,577642,56.0,TEC,CAS,SANTIAGO,90,245238,42270,1152064,0,241,0,0,3,800000,NO,NO FUGA
229,F,469305,48.0,UNV,CAS,SANTIAGO,31,0,0,0,0,0,0,2202,1,2000000,SI,FUGA
